x,y,z
1.0407715,0.27319336,-0.123291016
1.0371094,0.37402344,-0.16699219
1.0368652,0.17236328,-0.11328125
1.0205078,0.16308594,-0.10107422
1.0383301,0.15771484,-0.1027832
1.0227051,0.15136719,-0.09472656
1.0280762,0.1550293,-0.09301758
1.0344238,0.14624024,-0.1027832
1.0351562,0.16186524,-0.1027832
1.0380859,0.15600586,-0.0922851568
1.0415039,0.1508789,-0.087890624
0.983398464,-0.2536621,-0.10888672
0.99902344,0.05493164,-0.020263672
1.026123,0.33007812,-0.07006836
1.0153808,0.40771484,-0.16186524
1.0075684,0.223632816,-0.1237793
0.9975586,0.337402336,-0.15698242
0.9970703,0.29296876,-0.15429688
1.0063476,0.32177734,-0.09448242
0.98461912,0.2956543,-0.214843736
0.9855957,0.26782228,-0.15039062
1.0078125,0.37231444,-0.16503906
0.9953613,0.3071289,-0.14013672
0.9929199,0.28637696,-0.04638672
0.9890137,0.34887696,-0.1796875
0.9790039,0.28564452,-0.0925293
0.9814453,0.36499024,-0.095703128
0.9863281,0.3713379,-0.08666992
0.9934082,0.39819336,-0.14819336
0.9658203,0.32006836,-0.17797852
0.98413084,0.36547852,-0.1015625
0.9863281,0.38061524,-0.063964844
0.98706056,0.3762207,-0.08642578
0.97998052,0.3808594,-0.11767578
0.97998052,0.38549804,-0.15795898
0.9782715,0.375,-0.103515624
0.986084,0.3720703,-0.12182617
0.9824219,0.36791992,-0.08227539
0.9819336,0.38061524,-0.14428711
0.9863281,0.39624024,-0.12792969
0.98168948,0.35742188,-0.123046872
0.9765625,0.366210936,-0.10791016
0.9777832,0.38354492,-0.10864258
0.9770508,0.37646484,-0.14428711
0.9758301,0.3791504,-0.12475586
0.9790039,0.3708496,-0.13305664
0.9797363,0.376708984,-0.09277344
0.9770508,0.36645508,-0.14111328
0.9797363,0.36791992,-0.10083008
0.97802732,0.37646484,-0.11352539
0.9729004,0.33325196,-0.107666016
0.9733887,0.34643556,-0.12524414
0.9741211,0.32592772,-0.14160156
0.9868164,0.3684082,-0.068847656
0.9836426,0.36376952,-0.111572264
0.983398464,0.359619136,-0.125
0.980468736,0.35180664,-0.10839844
0.9831543,0.37768556,-0.110839836
0.9802246,0.36645508,-0.12182617
0.97802732,0.3803711,-0.1262207
0.97680664,0.36328124,-0.13842774
0.98291016,0.36987304,-0.123291016
0.98461912,0.3623047,-0.12988281
0.9848633,0.3798828,-0.13208008
0.98168948,0.388916,-0.11425781
0.9836426,0.35839844,-0.13208008
0.9929199,0.37548828,-0.12353516
0.99487304,0.44018556,-0.1394043
0.9848633,0.33447266,-0.15405274
1.0061035,0.3798828,-0.1484375
0.9992676,0.3334961,-0.1430664
0.9875488,0.2211914,-0.07739258
1.0075684,0.29052734,-0.12548828
1.010498,0.26611328,-0.111572264
1.0063476,0.246337884,-0.08691406
1.0119629,0.27294922,-0.09375
1.0114746,0.22827148,-0.09423828
1.0136719,0.2121582,-0.122558592
1.0246582,0.296875,-0.106933592
0.9182129,0.3154297,-0.175781252
1.0031738,0.091308592,-0.0009765625
1.0141602,0.1496582,-0.091796872
1.0366211,0.2836914,-0.104003908
1.0319824,0.19750976,-0.06347656
1.0175781,0.17456054,-0.10449219
1.0266113,0.26489258,-0.11621094
1.0336914,0.25024414,-0.107666016
1.0117188,0.12060547,-0.05517578
1.0124512,0.15795898,-0.056884764
1.0307617,0.191650384,-0.08984375
1.0471192,0.060302736,-0.052490236
1.0307617,0.20825196,-0.10913086
1.0297852,0.17993164,-0.08325195
1.0546875,0.19799804,-0.052734376
1.0231934,0.18969726,-0.07543945
1.0349121,0.17382812,-0.049072264
1.0280762,0.18115234,-0.09106445
1.0356445,0.19384766,-0.07128906
1.0300293,0.18945312,-0.09277344
1.0375976,0.20385742,-0.092041016
1.0302734,0.17944336,-0.07495117
1.0222168,0.18554688,-0.0637207
1.0314942,0.21020508,-0.08154297
1.0288086,0.199218752,-0.0795898436
1.0351562,0.18701172,-0.08203125
1.0300293,0.1904297,-0.09057617
1.0283203,0.1862793,-0.079833984
1.0305176,0.18945312,-0.08496094
1.0302734,0.191894532,-0.09887695
1.0300293,0.17456054,-0.0795898436
1.0270996,0.1772461,-0.091552732
1.0317383,0.171875,-0.08520508
1.0339356,0.1772461,-0.071777348
1.0307617,0.183593744,-0.08935547
1.0332031,0.1904297,-0.08081055
1.0280762,0.182617184,-0.08496094
1.0285644,0.16772461,-0.08935547
1.0336914,0.191650384,-0.09082031
1.0310058,0.18652344,-0.07470703
1.0334473,0.17944336,-0.0871582
1.03125,0.17822266,-0.083496092
1.0324707,0.175537108,-0.08520508
1.0356445,0.19677734,-0.09033203
1.03125,0.18066406,-0.07788086
1.0266113,0.17211914,-0.0766601536
1.027832,0.17016602,-0.084472652
1.0354004,0.18237304,-0.08618164
1.036377,0.17333984,-0.0925293
1.036377,0.17016602,-0.08959961
1.0319824,0.1845703,-0.09057617
1.0390625,0.174804684,-0.076171868
1.0349121,0.17333984,-0.080566408
1.0356445,0.175781252,-0.07446289
1.0336914,0.16992188,-0.07910156
1.0253906,0.16748047,-0.095458984
1.0349121,0.1821289,-0.09082031
1.0302734,0.1772461,-0.10180664
1.0341797,0.18579102,-0.087402344
1.03125,0.17797852,-0.08227539
1.0334473,0.17456054,-0.091308592
1.0288086,0.17114258,-0.07348633
1.0332031,0.17407226,-0.068115232
1.0334473,0.175781252,-0.08520508
1.0305176,0.18481446,-0.0949707
1.0327148,0.1628418,-0.07519531
1.0361328,0.18237304,-0.091552732
1.0322266,0.171875,-0.099853512
1.0297852,0.18139648,-0.07885742
1.0332031,0.17895508,-0.07788086
1.0336914,0.176025392,-0.068115232
1.0292969,0.1652832,-0.099853512
1.0263672,0.12011719,-0.107666016
1.0383301,0.183349616,-0.0871582
1.0349121,0.18774414,-0.09887695
1.0314942,0.17016602,-0.08642578
1.0141602,0.176269532,-0.13598633
1.027832,0.17333984,-0.13110352
1.0170898,0.08129883,-0.12939453
1.0349121,0.21923828,-0.084228516
1.0180664,0.1796875,-0.11010742
1.019043,0.199951168,-0.107421868
1.0344238,0.27246094,-0.08984375
1.0217285,0.26220704,-0.10205078
1.013916,0.24414062,-0.1171875
1.0148926,0.22583008,-0.13745117
1.0202637,0.2512207,-0.12182617
1.015625,0.24243164,-0.10961914
1.019043,0.27856444,-0.10253906
1.0170898,0.26757812,-0.115478516
1.0126953,0.25708008,-0.099121096
1.0129394,0.2512207,-0.12207031
1.0112305,0.25585938,-0.104003908
1.0134277,0.24902344,-0.13061524
1.0124512,0.22167969,-0.10083008
0.97265624,0.19604492,-0.1640625
1.0224609,0.2824707,-0.12841797
1.0124512,0.25048828,-0.12133789
1.0136719,0.26904296,-0.12841797
1.0134277,0.28076172,-0.0925293
1.0112305,0.27734376,-0.118652344
1.0102539,0.26416016,-0.115722652
1.0144043,0.25341796,-0.13500976
1.0185547,0.28076172,-0.115234376
1.0136719,0.27148438,-0.1340332
1.0102539,0.25097656,-0.11743164
1.0085449,0.25708008,-0.095458984
1.0148926,0.2602539,-0.10888672
1.012207,0.25317384,-0.11352539
1.0163574,0.26611328,-0.114746092
1.0117188,0.2680664,-0.11230469
1.0097656,0.2590332,-0.1315918
1.017334,0.28930664,-0.10888672
1.0107422,0.26416016,-0.11303711
1.0158692,0.26611328,-0.09887695
1.0063476,0.2565918,-0.13769531
1.0222168,0.2878418,-0.111816408
1.0087891,0.25048828,-0.11450195
1.0107422,0.2614746,-0.111328132
1.0092774,0.2668457,-0.11352539
1.0161133,0.28930664,-0.119628904
1.0100098,0.27954102,-0.11816406
1.0092774,0.24169922,-0.11010742
1.0131836,0.2770996,-0.13208008
1.0117188,0.2734375,-0.11376953
1.0097656,0.26098632,-0.123291016
1.0144043,0.2668457,-0.119140624
1.0107422,0.28295898,-0.11743164
1.0153808,0.27563476,-0.11279297
1.0073242,0.26123048,-0.14453125
1.0109863,0.2614746,-0.11987305
1.0109863,0.2607422,-0.12158203
