thumb_x,thumb_y,thumb_z,index_x,index_y,index_z,middle_x,middle_y,middle_z,ring_x,ring_y,ring_z,pinky_x,pinky_y,pinky_z,alphabet
1.0429688,0.080566408,-0.24804688,-0.89282224,0.1796875,-0.32373048,-0.925781264,0.035888672,-0.13256836,-1.0825195,0.15673828,0.07861328,-1.0842285,0.16040039,0.078125,A
1.0571289,0.10498047,-0.22973633,-0.8977051,0.182861332,-0.31689452,-0.9284668,0.026855468,-0.12426758,-1.0869141,0.16381836,0.079833984,-1.0876465,0.15893554,0.08520508,A
1.0529785,0.09863281,-0.23510742,-0.88916016,0.1850586,-0.3125,-0.92700195,0.036376952,-0.109375,-1.0859375,0.168212892,0.07543945,-1.0874024,0.16113281,0.08154297,A
1.0576172,0.0925293,-0.24414062,-0.898681664,0.176269532,-0.31176758,-0.94189452,0.028564454,-0.12524414,-1.0900879,0.16088867,0.0871582,-1.090332,0.16455078,0.08276367,A
1.0576172,0.095458984,-0.223144532,-0.89282224,0.18847656,-0.32421876,-0.940917936,0.03955078,-0.114990232,-1.0949707,0.16333008,0.0766601536,-1.0961914,0.16381836,0.080322264,A
1.0541992,0.115234376,-0.25317384,-0.898681664,0.18481446,-0.31762696,-0.9387207,0.03173828,-0.119140624,-1.0917969,0.16210938,0.07714844,-1.0935058,0.1616211,0.07324219,A
1.0546875,0.099853512,-0.2241211,-0.8840332,0.192138668,-0.3251953,-0.9250488,0.038085936,-0.114990232,-1.081543,0.16699219,0.07543945,-1.0793457,0.15966797,0.08251953,A
1.0495606,0.083740232,-0.2409668,-0.89697268,0.183837884,-0.3256836,-0.9309082,0.034179688,-0.12988281,-1.09375,0.1586914,0.07714844,-1.0876465,0.16186524,0.07446289,A
1.0571289,0.103759768,-0.25268556,-0.904541,0.17871094,-0.32055664,-0.9355469,0.026611328,-0.12231445,-1.0915527,0.1628418,0.07714844,-1.0908203,0.16308594,0.0871582,A
1.0507812,0.08251953,-0.23242188,-0.8857422,0.18701172,-0.3149414,-0.9255371,0.03930664,-0.1171875,-1.0808106,0.16674804,0.08227539,-1.0803223,0.16601562,0.08935547,A
1.0522461,0.095947268,-0.2397461,-0.89208984,0.18188476,-0.3190918,-0.93359376,0.034179688,-0.12182617,-1.083252,0.1628418,0.076416016,-1.0852051,0.16186524,0.07763672,A
1.0588379,0.07495117,-0.22509766,-0.889648464,0.18823242,-0.33032228,-0.9345703,0.03930664,-0.12890625,-1.0949707,0.1640625,0.08496094,-1.0905762,0.1652832,0.076416016,A
1.0534668,0.12353516,-0.2578125,-0.9050293,0.1730957,-0.2998047,-0.931884736,0.01953125,-0.114990232,-1.088623,0.15356446,0.08691406,-1.0900879,0.15307617,0.087890624,A
1.0515137,0.09399414,-0.24975586,-0.89746092,0.18164062,-0.3125,-0.9362793,0.029541016,-0.1081543,-1.0915527,0.16040039,0.08227539,-1.0852051,0.1616211,0.091552732,A
1.0559082,0.111083984,-0.237304684,-0.89501952,0.18481446,-0.31958008,-0.93359376,0.040527344,-0.12133789,-1.0878906,0.1640625,0.088378904,-1.0854492,0.1652832,0.08544922,A
1.0627442,0.107421868,-0.23461914,-0.8952637,0.18847656,-0.32177734,-0.9267578,0.0383300768,-0.12475586,-1.078125,0.17138672,0.07324219,-1.0788574,0.16772461,0.07397461,A
1.0571289,0.11230469,-0.2397461,-0.89282224,0.1875,-0.31298828,-0.9296875,0.032470704,-0.12036133,-1.0854492,0.15722656,0.07714844,-1.0834961,0.15454102,0.084472652,A
1.0461426,0.07836914,-0.23168946,-0.882568368,0.184326168,-0.328125,-0.92407224,0.03857422,-0.12890625,-1.0803223,0.15698242,0.07714844,-1.0795898,0.1550293,0.072021484,A
1.0683594,0.10205078,-0.237792976,-0.89282224,0.183349616,-0.31860352,-0.931884736,0.028808594,-0.13330078,-1.0866699,0.15283203,0.080078132,-1.0827637,0.15332031,0.08129883,A
